X	Y	Z
8.206	-1.571	2.429
8.168	-1.508	2.397
8.181	-1.476	2.439
8.229	-1.482	2.390
8.237	-1.513	2.438
8.005	-1.701	2.478
8.054	-1.707	2.494
8.099	-1.684	2.467
8.023	-1.637	2.463
8.009	-1.605	2.501
8.113	-1.604	2.469
8.080	-1.641	2.497
8.026	-1.718	2.537
8.113	-1.679	2.515
8.047	-1.604	2.564
8.123	-1.620	2.526
8.174	-1.689	2.452
8.191	-1.652	2.491
8.248	-1.655	2.455
8.163	-1.667	2.533
8.215	-1.689	2.534
8.169	-1.615	2.566
8.063	-1.585	2.479
8.118	-1.544	2.454
8.071	-1.539	2.500
8.045	-1.479	2.445
8.044	-1.479	2.502
8.093	-1.500	2.448
8.178	-1.569	2.482
8.229	-1.588	2.470
8.252	-1.541	2.499
8.133	-1.508	2.496
8.252	-1.478	2.471
8.150	-1.549	2.526
7.699	-1.308	2.161
7.722	-1.266	2.183
7.647	-1.266	2.201
7.677	-1.248	2.247
7.685	-1.234	2.198
7.743	-1.219	2.200
7.725	-1.218	2.247
7.624	-1.246	2.257
